id;mail_to;mail_to_name;subject;body;attached_1;attached_unlink_1;attached_2;attached_unlink_2;attached_3;attached_unlink_3;date_time_entry;date_time_send;mail_from;mail_from_name;status;info;mail_cc;mail_cc_name;table_relation;table_id;created_at;created_by;updated_at;updated_by
1;newsprint fooey;doubter yahoo downright;tense;polarisation;hoick;cardboard filthy;madly;adventurously;sesame;rot yahoo;2025-04-09T06:38:30;2025-04-09T03:57:49;circumnavigate;knowledgeably;false;blissfully recklessly;joyous which after;until bah um;aboard quicker;ignite ack;2025-04-08T23:54:28;11681;2025-04-08T21:00:23;14441
2;likable aw;weary;mid majestically;pish geez;and vivaciously upside-down;whoever;and legging;although persecute moralise;chunder interestingly;wherever phooey;2025-04-09T08:55:42;2025-04-08T10:27:38;hence about sashay;gadzooks incidentally tribe;true;failing slather circular;pish whether hence;finally ha abacus;lest shocked;regularly oh;2025-04-08T22:13:16;30781;2025-04-09T08:17:02;3720
3;fiercely down why;an where since;deliberately tinderbox;innocently excluding fast;round;commemorate;privilege searchingly square;minus waft;complete;fireplace;2025-04-08T22:13:06;2025-04-08T22:30:08;obnoxiously;unnaturally across account;true;after gadzooks;who pfft aside;surprisingly;singe;woefully;2025-04-08T12:32:12;32077;2025-04-08T18:39:01;2583
4;freight;if ha;statue ah;hence;disarm;shallow rekindle;thunderbolt;querulous;sleepily gosh;old-fashioned scoff;2025-04-08T17:59:34;2025-04-08T19:36:10;rationalise quizzically;the only;false;handover violently so;frilly since;jury by dwell;softly;frugal foodstuffs sting;2025-04-08T13:33:27;24912;2025-04-08T11:38:43;6391
5;after;jot spirit;and surface;recompense;lazily although;from;after;gurn bran fooey;aw;as amongst;2025-04-08T12:31:30;2025-04-08T23:23:56;woot;without;true;declaration bah overstay;greatly;minor immediately;eek how at;self-confidence outrank darling;2025-04-08T16:47:25;14897;2025-04-08T23:25:15;14828
6;during above;pish pupil digestive;along functional;newsstand utter too;truly bah nor;blindly;rationalize ick;while empty stupendous;galoshes;including weight doodle;2025-04-08T14:26:22;2025-04-09T02:35:46;about although;cop but joyful;false;potentially;unrealistic unfurl supposing;unnecessarily whenever;hm;implode antagonize tarry;2025-04-08T23:04:59;14539;2025-04-08T19:11:45;7215
7;obediently tedious;hmph husband;blindly aha;deer but beret;meh entire phooey;yippee waist;cutover ha;drat;but;duh sundae;2025-04-08T10:15:32;2025-04-08T11:18:15;opposite;pilot on;true;repeatedly waltz;finally nor;word unfortunately;gah;grave;2025-04-09T05:52:51;27367;2025-04-08T11:25:42;27917
8;immediately fervently;plus gadzooks;analogy;rough;soon recount;vol;because huff reorganisation;shadowy ah clamour;pertinent meanwhile like;however;2025-04-09T05:36:53;2025-04-09T05:41:46;atop;diagram;false;and loudly;instead until regarding;browse;wisely equally;yowza;2025-04-08T15:34:32;24356;2025-04-08T23:42:05;12197
9;hello yippee;closely carpool likewise;quarrel quickly;every hence;instance irk;whether;yak;because;which and anneal;scramble than;2025-04-09T02:32:21;2025-04-09T00:43:01;via urban;versus yet;false;knavishly cone;candid jury on;teammate badly provided;ew descent;yowza provided extract;2025-04-08T09:38:19;20261;2025-04-08T23:06:57;12042
10;inquisitively;smoothly venture vice;coin;gadzooks print though;happy brook;overcook important as;mild loose;log gah;where phooey;mockingly;2025-04-09T05:43:12;2025-04-08T15:27:13;faithfully even;below;true;behind generally;nervously;drat;drat;cavernous reword revitalise;2025-04-09T00:10:23;12864;2025-04-08T11:09:18;26687
