id;customer_id;country_id;client_id;channel_id;brand_id;product_id;qty;created_at;created_by;updated_at;updated_by
1;24975;22053;about cap;22734;17489;17516;22175;2025-04-09T08:00:52;2304;2025-04-09T04:13:55;3494
2;18315;20004;cake;18053;8772;17832;10541;2025-04-09T09:10:40;21281;2025-04-08T17:17:35;20215
3;6081;22027;fatally bewail;20193;4931;1097;24895;2025-04-08T17:33:07;2591;2025-04-08T12:09:38;8307
4;24737;13606;premium blah even;9709;33;11472;25789;2025-04-08T18:13:22;16547;2025-04-09T05:06:31;29361
5;17588;8768;blue terribly;4551;10322;9227;26313;2025-04-08T20:46:04;23438;2025-04-08T23:34:22;397
6;16779;15730;when;8898;6171;30622;18613;2025-04-08T21:59:03;26661;2025-04-08T19:18:03;29609
7;16083;11980;digestive likewise gosh;32758;24677;22824;12128;2025-04-08T15:42:24;10659;2025-04-09T03:44:08;30193
8;10503;12295;ew wherever;29496;9118;5380;10022;2025-04-09T08:56:55;26627;2025-04-08T20:19:04;4914
9;8516;24936;than;25875;21952;10813;29264;2025-04-08T23:37:01;19736;2025-04-09T08:15:12;15720
10;25355;31634;annex ew;28429;8861;19736;580;2025-04-09T04:07:36;24322;2025-04-08T12:02:24;105
