id;transaction_detail_id;customer_id;country_id;client_id;channel_id;brand_id;product_id;qty;created_at;created_by;updated_at;updated_by
1;7977;30172;22815;26203;29935;18645;31969;25969;2025-04-08T12:18:20;16303;2025-04-08T13:48:16;12534
2;12741;8035;1452;3706;21026;18451;3652;22803;2025-04-09T08:43:24;787;2025-04-09T04:07:52;26692
3;27198;17862;8239;10907;4381;11139;31752;25744;2025-04-08T15:12:50;5452;2025-04-09T09:31:47;3767
4;28973;24816;29552;32068;18015;22089;30367;3963;2025-04-09T00:23:51;10520;2025-04-09T03:40:16;673
5;3703;19885;6095;8607;26431;25732;368;15426;2025-04-09T02:56:10;9014;2025-04-08T09:51:59;14862
6;4131;498;10278;16888;27316;11249;31542;3987;2025-04-09T06:11:24;25246;2025-04-08T22:32:06;355
7;14611;11747;9002;4164;29571;8816;8462;32407;2025-04-09T00:21:00;17603;2025-04-08T14:37:49;29914
8;20415;28199;30206;14078;14070;10853;30144;18031;2025-04-08T22:08:31;14993;2025-04-09T07:03:27;21561
9;28034;5129;19429;1917;29570;8953;11489;2866;2025-04-08T22:29:00;32757;2025-04-09T02:33:40;10082
10;22233;26015;22277;24407;4571;3812;20733;21104;2025-04-09T01:14:24;23749;2025-04-08T11:32:00;11302
