id;payment_type_id;country_id;name;description;description_en;logo;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;32279;7396;since;stuff er geez;majestically abacus pace;elegantly salty but;true;true;2025-04-08T11:32:29;31862;2025-04-08T17:46:25;12759
2;24594;12468;bah boo anti;cooperative;mooch;zowie respectful eek;false;false;2025-04-09T03:19:11;3421;2025-04-08T12:40:47;9612
3;28849;4205;quietly;during huzzah;monthly adjourn jam-packed;ethyl;true;false;2025-04-08T20:39:48;7061;2025-04-09T02:16:29;16925
4;7378;1176;indeed;bah vengeful jut;recede switchboard;unless indeed;false;true;2025-04-09T02:25:26;30502;2025-04-09T01:05:37;2700
5;27835;26375;blah;entire deprave;aha scorn ugh;elementary mmm giving;false;true;2025-04-08T12:56:07;10745;2025-04-08T18:25:45;12436
6;32523;15821;gust likable;worriedly daughter;whoa;even excitedly;false;false;2025-04-09T08:24:49;17306;2025-04-09T04:33:25;4274
7;9933;8276;dental;octave;hm horn yowza;uncork provided apropos;true;false;2025-04-09T06:18:53;26437;2025-04-08T18:40:16;15395
8;11629;30293;consequently uselessly now;freely saloon;opposite lovingly;infatuated within;true;true;2025-04-09T02:12:07;16486;2025-04-08T23:55:39;21649
9;19320;25894;fooey from;incidentally curiously;milky;trust dwell;true;true;2025-04-08T13:34:37;28208;2025-04-09T07:28:15;371
10;11605;20055;dreary whereas;what behind blaring;bootleg than;catalyst mad wash;false;false;2025-04-08T12:12:03;6368;2025-04-08T15:54:32;4614
