id;campaign_id;free_month;valid_from;valid_to;created_at;created_by;updated_at;updated_by
1;20061;17172;2025-04-08T11:59:35;2025-04-08T13:50:14;2025-04-09T05:03:05;14221;10853;1380
2;28992;8926;2025-04-08T20:13:37;2025-04-08T20:00:21;2025-04-08T20:50:14;10243;12924;14298
3;18100;30903;2025-04-09T03:02:20;2025-04-08T12:36:22;2025-04-09T05:06:37;32608;30961;24740
4;22379;19597;2025-04-08T20:59:04;2025-04-08T16:59:20;2025-04-08T10:27:53;21599;23301;3489
5;15766;18275;2025-04-08T22:26:38;2025-04-09T01:54:00;2025-04-08T21:11:43;26307;17861;7638
6;10072;10370;2025-04-08T10:57:00;2025-04-09T08:10:47;2025-04-09T02:42:40;18147;11000;9754
7;13859;22360;2025-04-08T20:32:24;2025-04-09T10:01:19;2025-04-08T14:13:34;24672;579;30813
8;15058;30410;2025-04-09T07:34:51;2025-04-09T04:29:10;2025-04-09T02:23:14;22520;6010;25057
9;24452;9207;2025-04-09T08:35:27;2025-04-08T20:29:22;2025-04-08T19:58:58;3703;17698;9006
10;26604;29107;2025-04-08T18:47:19;2025-04-08T15:27:30;2025-04-09T04:48:39;10071;31398;4461
