id;status;type;code;name;payment_provider_id;payment_fee_percentage;payment_fee_nominal;payment_notes;image_url;how_to_pay;note;created_at;created_by;updated_at;updated_by
1;seldom;blend uh-huh;incidentally about ah;yahoo;19073;21235.63;22005.46;until;however;whose cemetery;gadzooks searchingly;2025-04-09T01:27:31;2616;2025-04-08T12:45:48;10333
2;guide worriedly space;and word well-made;personal wherever;whoa mob;11727;9144.92;15486.25;serve;now forager ferociously;hungry;jaggedly outflank blah;2025-04-09T03:52:43;25096;2025-04-09T04:29:30;8674
3;powerless sans;obnoxiously after if;mad blindly however;save;22357;30385.73;16298.37;hunt since hollow;carelessly amid dreamily;astride drat;longingly outrageous;2025-04-08T17:52:29;19348;2025-04-09T09:35:21;7680
4;drat;deflate transcend assist;scratchy geez;pish mould;14116;17542.72;26339.72;nor dimly disloyal;whether holster debit;below rotten nifty;salty indeed;2025-04-08T21:37:50;14038;2025-04-09T07:04:22;2643
5;parallel what;breakable even silently;clone along;magnetize;21291;5045.88;4185.36;notwithstanding;up;red kissingly hmph;miserly certification urban;2025-04-08T15:56:51;26442;2025-04-08T23:38:32;14705
6;who versus;as;gigantic zowie;regular;18497;22392.04;4092.33;palate likewise bowed;solemnly violin oh;netsuke finally gosh;wretched roadway fidget;2025-04-09T02:51:49;24577;2025-04-09T03:03:41;23225
7;ouch as because;well modulo masculinize;but hopeful reboot;co-producer whereas;25087;31627.54;14527.1;ack gum however;ack;aside;fluff;2025-04-08T17:59:32;27349;2025-04-08T12:57:55;1425
8;and beautifully however;truly secrecy whereas;following maroon;how up;22988;29650.28;7926.38;platypus under;below including;willfully although than;tightly who intelligent;2025-04-09T02:53:15;10470;2025-04-08T14:07:32;32713
9;abaft within;judgementally maestro;hotfoot management why;rewrite;9832;21860.91;4531.18;strident despite;trustworthy speedily kindheartedly;er cow appreciate;rubric tenderly absent;2025-04-08T13:33:25;25179;2025-04-09T04:20:52;18757
10;woot when hovel;igloo inspect frantically;brisk mysteriously around;cafe;20425;27469.2;21031;times;oddly bleakly boohoo;voluntarily furthermore off;consign triangular;2025-04-09T09:32:18;9022;2025-04-08T12:11:39;2799
