id;status;provider;created_at;created_by;updated_at;updated_by
1;true;up yuck arbitrate;2025-04-09T07:58:04;15016;2025-04-09T04:29:59;23669
2;false;thump golden speedily;2025-04-08T11:42:49;30379;2025-04-08T21:08:49;19741
3;true;before confiscate cluttered;2025-04-08T12:12:19;23902;2025-04-09T09:09:41;3407
4;true;yearn pluck near;2025-04-08T21:39:46;29718;2025-04-08T22:25:36;29713
5;false;upbeat continually;2025-04-09T00:29:55;21786;2025-04-09T03:02:01;2493
6;false;daily;2025-04-09T03:19:58;3680;2025-04-09T08:48:16;10989
7;false;upliftingly when unless;2025-04-08T18:56:16;7045;2025-04-09T01:49:24;12200
8;true;all browse;2025-04-08T13:59:41;30170;2025-04-09T02:15:23;2192
9;false;hidden goodwill;2025-04-09T00:32:21;21934;2025-04-08T20:12:33;28626
10;true;godfather shoddy because;2025-04-09T06:38:09;11575;2025-04-09T07:55:11;14490
