id;payment_transaction_id;cycle;hit_datetime;hit_status;created_at;created_by;updated_at;updated_by
1;17576;30093;2025-04-09T04:54:05;true;2025-04-09T06:49:38;11419;2025-04-08T22:58:26;22307
2;6981;17596;2025-04-08T20:09:25;false;2025-04-08T12:37:07;22742;2025-04-08T11:28:29;29367
3;30235;20277;2025-04-09T00:23:29;false;2025-04-08T22:24:04;12641;2025-04-08T16:46:47;3716
4;18687;18994;2025-04-08T18:02:36;true;2025-04-09T07:35:55;24072;2025-04-08T16:00:04;5084
5;21952;12080;2025-04-08T22:06:00;false;2025-04-08T22:44:22;13244;2025-04-08T10:39:37;12111
6;13164;8411;2025-04-08T12:48:01;false;2025-04-08T14:14:21;24305;2025-04-09T02:13:28;31755
7;9568;11062;2025-04-08T22:43:36;true;2025-04-08T20:54:52;387;2025-04-09T04:09:54;5979
8;10669;10711;2025-04-08T18:14:24;false;2025-04-09T00:10:02;31879;2025-04-09T03:18:57;20378
9;15612;19485;2025-04-09T07:13:12;true;2025-04-08T22:56:41;27818;2025-04-09T04:03:06;19811
10;15244;14852;2025-04-08T15:22:14;false;2025-04-09T08:47:08;25970;2025-04-09T04:21:49;30283
