id;payment_provider_id;payment_list_id;payment_transaction_id;customer_id;payment_method_id;recurring_plan_id;cycle_id;schedule_id;action_id;status;cycle;amount;tax;payment_charge;total;datetime_paid;total_retry;attempt_retry;datetime_last_retry;send_callback;send_callback_attempt;payment_schedule;payment_link;reference_id;data_obj;created_at;created_by;updated_at;updated_by
1;30997;14421;4376;12353;5867;16521;16051;20868;11479;false;24831;32444.53;24920.57;4029.07;22314.07;2025-04-08T18:09:12;29499;26386;2025-04-09T02:07:54;true;14252;2025-04-08T23:17:00;before kiddingly pneumonia;premeditation beside scar;remarkable;2025-04-08T12:26:57;4995;2025-04-09T09:28:30;8001
2;20123;31396;12942;29993;18300;30872;29775;25568;10770;true;28326;8172.72;790.51;27035;4061.42;2025-04-08T15:54:33;8224;1369;2025-04-08T19:56:33;true;16095;2025-04-08T13:03:18;not;miserable how pfft;trick unsteady;2025-04-09T08:33:53;6118;2025-04-09T00:07:24;25317
3;14300;24349;4533;16630;8965;12093;14943;16149;31273;false;1383;14881.05;4844.89;12058.79;32432.81;2025-04-08T12:38:50;12288;1071;2025-04-08T17:18:15;true;26962;2025-04-08T18:08:26;vivacious;up amidst that;steel;2025-04-08T16:21:10;2588;2025-04-08T13:37:25;28273
4;13509;26621;26968;10552;11544;1775;11510;31684;10298;false;16412;27196.46;11193.66;28.82;10453.33;2025-04-08T15:40:51;14053;7615;2025-04-08T20:17:17;true;25883;2025-04-09T07:05:53;retool guilt warming;represent inconsequential piglet;uneven;2025-04-09T03:27:16;1249;2025-04-09T05:44:24;18291
5;2519;4517;1125;27411;31103;9242;17405;24968;10842;false;7314;1858;27173.68;2143.17;16838.94;2025-04-08T19:44:02;12717;3351;2025-04-08T20:29:52;false;24121;2025-04-08T18:15:09;jot;whereas psst;exempt;2025-04-08T20:28:11;7519;2025-04-08T22:25:56;25896
6;1365;19683;23340;8792;28375;24421;6483;21365;7283;true;9470;3229.77;11507.05;24488.76;24746.82;2025-04-09T05:15:48;31780;27950;2025-04-08T13:19:07;false;23114;2025-04-09T05:44:25;an;throughout lavish black;through which;2025-04-09T09:24:01;15675;2025-04-08T14:18:45;15594
7;32540;13124;22852;13220;5725;25205;7558;14089;14920;true;5326;9071.7;13287.3;32468.19;11624.12;2025-04-09T02:53:08;12796;17885;2025-04-08T23:44:05;true;9923;2025-04-08T12:31:20;showboat;soulful although;substitution er above;2025-04-09T01:01:16;8092;2025-04-09T01:57:36;21645
8;9914;19579;31743;27073;18554;20490;5963;6496;5339;false;25573;32513.51;22089.72;18820.82;30740.87;2025-04-09T00:26:16;5081;1146;2025-04-08T22:55:10;true;27799;2025-04-09T09:35:00;indeed inquisitively gee;hmph;shark when treasure;2025-04-09T04:53:00;27731;2025-04-09T03:11:17;16245
9;31221;4577;2568;30789;9008;8969;2407;32524;23912;false;4163;19444.99;15193.02;5593.83;6053.86;2025-04-09T04:38:09;7217;18535;2025-04-09T01:57:59;false;19305;2025-04-09T01:55:26;content topsail uselessly;punctual fooey incinerate;switch poppy;2025-04-09T07:33:43;28489;2025-04-09T05:27:52;3618
10;20391;5851;15297;16627;1898;21176;2390;25896;1992;true;2164;30667.7;25469.11;26962.54;18940.57;2025-04-08T15:45:15;16445;17187;2025-04-08T13:28:35;false;23770;2025-04-08T20:16:33;about;coolly;deeply;2025-04-08T16:57:23;16491;2025-04-08T21:34:13;17117
