id;payment_transaction_recurring_id;status;attempt_retry;datetime_retry;datetime_next_retry;send_callback;send_callback_attempt;send_email;send_email_attempt;created_at;created_by;updated_at;updated_by
1;2105;for once;22115;2025-04-08T21:26:27;2025-04-08T12:04:48;true;9130;false;10015;2025-04-08T15:34:13;28031;2025-04-09T10:39:24;27141
2;29005;and though battle;5655;2025-04-08T17:39:16;2025-04-08T17:10:00;false;12391;false;27254;2025-04-08T20:49:30;2419;2025-04-09T09:17:05;9718
3;10826;saw pleasing truthfully;19747;2025-04-08T16:51:57;2025-04-09T00:58:05;false;29805;false;32062;2025-04-08T18:49:06;27277;2025-04-08T21:27:31;576
4;7961;frankly against inconsequential;13922;2025-04-09T07:05:54;2025-04-08T17:21:51;true;29621;true;24156;2025-04-09T07:01:54;23212;2025-04-09T00:10:57;1605
5;24508;versus;28055;2025-04-08T21:42:23;2025-04-09T05:23:10;true;23684;true;7840;2025-04-09T09:08:20;20824;2025-04-09T01:04:10;5037
6;31786;exhausted blah potable;20207;2025-04-09T06:37:40;2025-04-09T06:26:50;false;253;false;16437;2025-04-08T12:36:29;32167;2025-04-09T03:03:04;10350
7;697;into whereas warlike;30197;2025-04-09T07:13:30;2025-04-09T06:45:05;true;10191;true;22738;2025-04-08T18:02:51;23110;2025-04-09T09:27:57;15933
8;11006;because comparison unpleasant;15600;2025-04-08T11:47:47;2025-04-08T23:52:47;true;11769;true;13555;2025-04-09T03:48:51;12169;2025-04-09T00:56:51;26182
9;17443;er consequently;23578;2025-04-09T03:43:05;2025-04-09T01:24:34;true;14503;true;4729;2025-04-08T15:33:44;26547;2025-04-08T12:43:44;2812
10;11842;commonly deficient;14827;2025-04-08T11:13:44;2025-04-09T09:03:09;true;24279;false;31347;2025-04-08T12:09:42;30944;2025-04-08T14:23:56;23348
