id;name;description;description_en;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;bore;astride ha;meaningfully;true;true;2025-04-08T21:09:10;22433;2025-04-08T20:53:52;254
2;boastfully nor amongst;tame;restfully against;false;true;2025-04-09T05:07:53;30280;2025-04-09T05:03:19;25348
3;amidst intent;powerfully although casket;optimistically;true;true;2025-04-09T09:04:02;14087;2025-04-08T16:39:14;4175
4;hm downchange;intent;viability;false;false;2025-04-08T18:12:42;638;2025-04-08T21:58:19;21169
5;round dampen;pish orderly;but;true;false;2025-04-08T14:33:56;2367;2025-04-09T01:30:18;3251
6;now swift seal;from fully;soon;true;true;2025-04-08T15:03:13;10971;2025-04-09T01:22:09;8871
7;wretched highly;rudely until yuck;slide with;true;false;2025-04-08T16:22:52;30576;2025-04-09T08:23:05;31340
8;wherever until;boo;deeply oddball energetically;true;true;2025-04-08T20:49:09;16740;2025-04-09T03:26:32;16336
9;glow aboard;fantastic urban meh;regarding;false;true;2025-04-08T14:41:09;16939;2025-04-08T14:21:14;2935
10;fluctuate via;amused hollow;smoke;false;true;2025-04-08T13:21:00;19751;2025-04-09T10:46:49;14738
