id;country_id;channel_id;brand_id;name;tnc;is_active;is_delete;created_at;created_by;updated_at;updated_by;n
1;21674;7014;26287;forswear;apropos;true;true;2025-04-08T05:00:32;24280;2025-04-09T00:27:17;18537;voluminous
2;13945;15078;18918;after;what like tankful;true;true;2025-04-08T22:44:54;5132;2025-04-09T02:51:54;24901;milky
3;28906;10972;11048;brr scoff liberalize;whose soon;false;true;2025-04-09T02:46:36;1586;2025-04-08T23:40:43;5941;unnaturally supposing
4;8540;19122;32433;naturally cone;across even whereas;true;false;2025-04-09T00:29:22;16757;2025-04-08T06:56:38;16001;boldly empty
5;7496;26532;9503;vanadyl;whenever rightfully thump;false;false;2025-04-08T15:18:26;16233;2025-04-08T06:24:43;24713;bashfully
6;6677;18345;24994;surprisingly;catalyze;false;true;2025-04-08T19:25:09;14107;2025-04-08T16:49:11;29011;gadzooks wherever of
7;827;21679;28802;though safeguard;next trouser;false;true;2025-04-09T02:52:46;7380;2025-04-08T19:56:35;23866;equally furthermore
8;32544;5864;27726;bruised;forenenst via intently;true;true;2025-04-09T02:33:42;25467;2025-04-09T00:31:34;30512;mash baritone while
9;21975;5713;17824;phooey minister napkin;airport finally muscat;true;true;2025-04-09T01:00:10;31459;2025-04-08T18:57:11;25777;phew vanish
10;1729;8406;13422;hence phew whoa;equally;false;false;2025-04-09T04:13:12;15824;2025-04-08T23:50:29;12401;stable yet
