id;country_id;client_id;channel_id;brand_id;name;is_all_voucher;priority;start_date;end_date;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;20350;23716;28366;13841;nice incidentally;true;aha;2025-04-08T12:30:11;2025-04-08T16:15:57;true;false;2025-04-08T12:46:54;28487;2025-04-08T23:44:55;18889
2;20563;789;4393;19244;meanwhile;false;pfft;2025-04-08T16:43:35;2025-04-08T13:16:49;false;false;2025-04-08T14:42:57;16039;2025-04-09T03:07:23;19871
3;1444;18682;12450;12265;down sailor;true;save;2025-04-08T09:47:38;2025-04-09T02:24:46;true;false;2025-04-08T05:24:23;18166;2025-04-08T06:30:19;13229
4;24997;28356;21396;12967;times knottily;false;ride stormy immediately;2025-04-08T15:06:53;2025-04-08T07:36:25;false;true;2025-04-08T07:29:33;29509;2025-04-08T23:07:22;769
5;5586;805;9591;11164;of;true;incidentally nightlife;2025-04-08T10:13:06;2025-04-09T02:10:47;false;false;2025-04-08T05:31:44;30632;2025-04-08T09:10:47;11223
6;30254;6754;18996;29916;relaunch;true;cauliflower hard-to-find tightly;2025-04-08T05:30:48;2025-04-08T08:29:12;false;false;2025-04-09T02:22:00;11913;2025-04-09T01:56:32;509
7;15569;31222;16610;26966;via round;true;gratefully um suburban;2025-04-08T17:37:40;2025-04-08T05:08:51;true;true;2025-04-08T07:56:33;8193;2025-04-09T03:04:58;10196
8;22038;4593;28735;31373;insignificant likewise ew;false;pasta indeed;2025-04-08T07:01:41;2025-04-08T15:33:16;false;false;2025-04-08T09:52:54;20831;2025-04-08T05:05:41;1568
9;10624;16178;493;26650;whereas;true;internalise helplessly confusion;2025-04-08T08:11:49;2025-04-08T15:00:41;false;false;2025-04-08T19:29:44;4487;2025-04-08T05:53:32;28273
10;21428;16704;22248;7496;outflank gee;true;defensive unless;2025-04-08T22:25:56;2025-04-08T17:07:06;true;false;2025-04-08T11:22:40;9243;2025-04-08T11:33:34;30540
