id;country_id;type;price;created_at;created_by;updated_at;updated_by
1;13120;but hm inside;28518.07;2025-04-08T13:23:50;15651;2025-04-09T05:31:13;8597
2;21755;hold notwithstanding in-joke;16405.02;2025-04-08T14:21:19;7383;2025-04-09T03:56:02;24372
3;13953;upside-down;25770.21;2025-04-08T11:42:27;3728;2025-04-08T16:51:13;9436
4;27888;hence ouch;24545.75;2025-04-08T17:40:50;13812;2025-04-08T07:50:06;8049
5;21185;which;11671.26;2025-04-08T10:13:35;3179;2025-04-09T02:46:44;6339
6;29595;worthless swine;21859.22;2025-04-08T14:49:12;1071;2025-04-08T09:02:44;19905
7;11474;sans puny;696.32;2025-04-08T22:01:08;24734;2025-04-09T01:11:26;31824
8;24144;know chow creator;17055.98;2025-04-08T14:17:33;3784;2025-04-08T20:59:21;2390
9;2721;circa bog;24052.1;2025-04-08T11:35:31;8760;2025-04-08T10:07:39;29164
10;31715;blah that boo;10742.02;2025-04-08T16:34:24;28672;2025-04-08T20:37:03;26680
