id;is_active;banner_image;banner_url;created_at;created_by;updated_at;updated_by
1;false;now so on;fooey;2025-04-08T15:29:41;25479;2025-04-08T15:47:23;32282
2;true;given;general which;2025-04-09T03:21:08;6780;2025-04-08T09:29:22;17518
3;true;focused;fuel enrich;2025-04-08T10:53:15;4321;2025-04-08T21:15:44;28276
4;false;now twin;politely;2025-04-08T21:18:03;2685;2025-04-09T02:19:18;7513
5;false;whereas where;while event woot;2025-04-08T10:39:53;23088;2025-04-09T04:49:26;24071
6;false;provided;uh-huh blah creamy;2025-04-08T09:38:44;21777;2025-04-08T16:14:48;6770
7;false;sunny supposing;roughly;2025-04-08T21:00:39;19942;2025-04-09T02:46:36;22536
8;false;printer though quickly;than;2025-04-08T10:14:57;3215;2025-04-08T18:23:53;4127
9;false;finally yearly for;opposite;2025-04-08T13:38:26;23881;2025-04-08T19:06:41;8198
10;false;lovable maroon;oh;2025-04-08T18:21:48;28330;2025-04-08T21:51:45;27835
