id;paysgift_promo_id;voucher_id;created_at;created_by;updated_at;updated_by
1;4487;6734;2025-04-09T06:04:29;2621;2025-04-08T21:14:08;30093
2;16936;16462;2025-04-08T12:37:56;22203;2025-04-09T05:33:27;7714
3;18353;30227;2025-04-08T11:49:08;4104;2025-04-08T08:20:47;23333
4;2856;11165;2025-04-09T04:11:57;13705;2025-04-08T13:39:19;7122
5;31152;4227;2025-04-08T12:39:04;10929;2025-04-08T11:28:47;22589
6;17713;4330;2025-04-09T01:45:44;18405;2025-04-09T04:12:27;8001
7;30923;27606;2025-04-08T10:46:16;4970;2025-04-08T17:59:17;9162
8;2571;32718;2025-04-08T21:12:35;24761;2025-04-08T06:45:50;14509
9;30925;30900;2025-04-09T00:00:35;14972;2025-04-09T02:30:27;17515
10;4130;15298;2025-04-08T20:56:27;12782;2025-04-08T14:14:52;3429
