id;country_id;brand_id;code;parent_code;sku_code;name;name_en;description;description_en;tnc;tnc_en;how_to_claim;how_to_claim_en;denom;buying_price;price;is_unlimited;qty;purchase_qty;remaining_qty;validity_purchase;validity_start_date;validity_end_date;tag;is_delivery;is_active;is_delete;permalink;updated_sync;created_at;created_by;updated_at;updated_by
1;10649;19835;for gosh psst;impact overcook submissive;always;teeming athwart spirited;exactly;founder overstay;frantically;hepatitis meal aside;sniveling scruple;red;unaccountably for;5155.28;26260.69;11696.93;false;7843;6122;3759;20126;2025-04-08T11:28:08;2025-04-08T23:05:38;possession wring;false;false;false;yet telescope;hmph hm soup;2025-04-09T04:41:39;7955;2025-04-08T11:50:06;20868
2;12646;18300;meh qua rise;purple solvency ack;writ puritan good-natured;brief;meanwhile modulo council;vanadyl;yahoo ignite;before;into;breakable well-lit pronoun;when expensive awareness;30672.71;3149.21;23121.64;false;32664;18697;32346;19701;2025-04-09T01:11:27;2025-04-08T20:52:52;besides remarkable;true;false;false;hierarchy mmm;livid;2025-04-08T08:08:58;770;2025-04-08T19:29:12;25920
3;24158;19762;horst eek following;smoke at;down after cosset;blah;fisherman;before whether;sidetrack equally;oof;gadzooks gummy;motivate;yowza eggplant;30515.11;10164.91;6723.02;false;610;11851;13187;8779;2025-04-08T13:12:09;2025-04-09T01:40:44;properly stunt oh;false;false;false;ham easily;deliberately raw after;2025-04-08T19:04:10;26531;2025-04-09T04:46:13;4101
4;4180;15201;legging;rear;comfortable louse until;only boohoo outside;bah joshingly forager;parallel provision;think without;unto;tedious;short-term;sticker;11902.3;5617.51;26139.37;true;26972;6170;24228;24281;2025-04-08T22:26:58;2025-04-09T00:03:42;pharmacopoeia splosh;true;true;false;careless buttery;parallel;2025-04-09T03:02:26;22437;2025-04-08T16:27:11;10002
5;29390;1148;before;how apud;vibration;graduate guard unhealthy;wildly wring chilly;truthfully or;broadly massage pfft;weird impostor once;rust truly amid;deck instead frankly;boo meh;16149.67;18611.97;12576.02;true;31130;21152;29096;506;2025-04-08T11:24:12;2025-04-08T07:58:47;elementary married ah;false;true;false;yuck unexpectedly how;cautiously;2025-04-09T03:20:14;12537;2025-04-09T00:34:27;22306
6;14465;26599;inside anenst towards;countess verbally hastily;healthily pliers shakily;whisper markup;however light;violently ruddy;put on;tromp;treble;respray warped;if;1392.26;6223.74;22890.56;true;21546;10104;3209;32031;2025-04-08T18:57:42;2025-04-08T08:37:45;even;false;true;true;poppy;ingratiate speedily below;2025-04-08T08:29:20;18633;2025-04-08T23:06:50;6289
7;27858;10581;notwithstanding cheerful;finally boo;cooperative from pluck;whale fooey;brr clonk;decongestant;liquid as;eek;incomplete stunt thread;meaningfully behind aha;failing;15083.73;27914.77;13459.7;true;15675;5672;963;16158;2025-04-08T18:06:58;2025-04-08T06:31:54;syringe nautical;false;false;false;knowledgeable but progress;whoa till highly;2025-04-08T06:35:43;27447;2025-04-09T02:47:34;16471
8;12996;28603;who;eminent oh drat;towards oh provided;silk;graduate the floss;slump mismatch ick;finally partially;amid unhappy;progress;although woot;certainly fathom;6756.47;15349.16;21905.31;false;21499;15622;26299;22425;2025-04-09T00:31:29;2025-04-08T20:59:05;climb bourgeoisie numeric;true;true;false;pigsty unwelcome nervously;save atop;2025-04-08T07:15:47;4715;2025-04-09T02:11:44;22645
9;11582;5889;sundae because ugh;igloo;scale;aha yesterday ditch;exploration emerge;under;uh-huh demob;retention besides;pro yum;underneath;regal oh giggle;13218.25;23035.64;21694.94;false;2633;3092;20604;20485;2025-04-08T06:28:35;2025-04-08T12:03:45;iterate;true;false;false;impanel;refine;2025-04-08T15:58:56;15318;2025-04-08T15:48:02;20406
10;8255;29175;chairperson lazily precedent;outrank willow;inhibit;an ugh savour;unto mantua;uncover;ignorance circle fast;short;hm yuck;around greatly happily;ha gym;19225.37;18173.26;1803.09;false;8896;6518;32681;19786;2025-04-08T14:39:46;2025-04-08T06:44:02;culture miscalculate;true;true;true;as joyful;rationale impeccable;2025-04-09T01:08:46;15318;2025-04-08T17:59:24;8795
