id;product_id;category_id;created_at;created_by;updated_at;updated_by
1;11200;9653;2025-04-08T10:18:12;8579;2025-04-08T12:13:04;4011
2;30492;9478;2025-04-08T08:54:04;22430;2025-04-09T01:36:08;26284
3;9964;11891;2025-04-08T23:05:40;16078;2025-04-08T11:24:46;5457
4;11998;25376;2025-04-08T19:20:49;19617;2025-04-08T17:15:55;21120
5;31327;3499;2025-04-09T00:17:26;16794;2025-04-08T18:35:59;20044
6;11285;1748;2025-04-08T21:30:31;28865;2025-04-08T14:20:38;13068
7;25622;28551;2025-04-08T12:59:49;30664;2025-04-08T08:19:30;27435
8;23918;7756;2025-04-08T23:57:29;15090;2025-04-08T08:29:54;32611
9;10064;8306;2025-04-08T15:53:11;18780;2025-04-09T03:48:22;27215
10;27752;26110;2025-04-08T16:24:06;29116;2025-04-08T06:34:58;9657
