id;product_id;customer_id;country_id;channel_id;brand_id;created_at;created_by;updated_at;updated_by
1;17641;10312;4588;11214;26315;2025-04-08T16:29:32;18020;2025-04-08T21:59:05;5857
2;7534;31297;18477;4814;9622;2025-04-08T10:07:42;17229;2025-04-08T09:09:35;14976
3;30442;25171;24558;11904;23004;2025-04-09T00:39:28;12495;2025-04-08T08:09:03;1408
4;1185;21959;27211;22660;7555;2025-04-09T02:04:45;10934;2025-04-08T19:14:48;20348
5;18872;27550;20216;12668;31991;2025-04-08T23:29:31;5674;2025-04-08T07:19:46;27098
6;23451;3472;7598;19375;12393;2025-04-09T04:26:45;23753;2025-04-08T16:26:58;22502
7;32373;8981;5328;25631;18591;2025-04-08T11:52:42;7894;2025-04-08T08:16:38;14927
8;5172;25897;217;22839;32586;2025-04-08T06:50:22;2139;2025-04-08T14:09:13;3151
9;21448;5676;15037;2762;15168;2025-04-08T16:46:16;12028;2025-04-08T07:03:51;2566
10;552;27269;1565;18760;25284;2025-04-08T09:13:57;9761;2025-04-08T16:56:11;21819
