id;product_id;client_id;channel_id;brand_id;image;priority;created_at;created_by;updated_at;updated_by
1;19678;15522;16720;4372;battle vastly;ew or unless;2025-04-08T09:26:12;26038;2025-04-09T04:18:09;870
2;19066;32604;28920;28546;unto lazily fluffy;insignificant yahoo;2025-04-09T05:53:09;11058;2025-04-09T05:32:07;10679
3;77;19215;10584;31594;gosh innovation;including careless;2025-04-08T13:09:24;18862;2025-04-08T09:59:55;31089
4;17118;19102;28363;3037;bah bleak notwithstanding;equal;2025-04-08T16:47:06;23854;2025-04-09T04:52:53;367
5;27950;13446;8997;1277;unaccountably pish;reassemble;2025-04-08T14:12:59;1984;2025-04-08T15:30:19;23600
6;24359;4097;32325;13165;supposing seemingly;scrabble fit;2025-04-09T05:11:06;20245;2025-04-09T00:12:33;28690
7;27997;14219;21201;16346;shoulder loaf;impure whoever;2025-04-08T15:14:20;8878;2025-04-08T11:14:57;29472
8;27382;21266;17239;6785;catalog;bright limping quicker;2025-04-08T09:56:18;17174;2025-04-08T08:13:40;8234
9;29836;31632;30537;28038;rarely;legislature plan eek;2025-04-09T00:34:50;3949;2025-04-09T02:17:29;12974
10;18143;7566;21528;11295;hm which circulate;around;2025-04-08T13:23:35;16505;2025-04-08T10:36:48;3427
