id;product_id;occasion_id;created_at;created_by;updated_at;updated_by
1;15266;1832;2025-04-08T10:03:53;12573;2025-04-08T14:40:10;13925
2;9853;4907;2025-04-08T23:45:37;4528;2025-04-08T19:02:57;725
3;22517;26812;2025-04-08T09:52:14;28343;2025-04-08T10:38:44;29540
4;19046;15281;2025-04-08T18:28:31;19948;2025-04-09T01:12:25;11728
5;11733;32111;2025-04-08T06:52:00;14844;2025-04-08T16:30:46;17303
6;20702;17974;2025-04-08T11:11:11;10431;2025-04-08T16:15:01;6963
7;8675;4536;2025-04-08T21:00:32;3337;2025-04-08T15:38:36;986
8;18236;18872;2025-04-09T03:41:57;15974;2025-04-09T04:15:52;9116
9;2761;28329;2025-04-08T11:21:40;16933;2025-04-08T14:31:28;25556
10;15726;25302;2025-04-08T10:41:35;1428;2025-04-09T00:07:52;3641
