id;customer_id;country_id;client_id;channel_id;brand_id;currency_id;currency_code;currency_rate;payment_id;coupon_code_id;shopback_reference;code;invoice_code;product_price;product_price_usd;delivery_price;delivery_price_usd;disc_product_price;disc_product_price_usd;disc_delivery_price;disc_delivery_price_usd;disc_coupon_price;disc_coupon_price_usd;service_fee;service_fee_usd;total_payment;total_payment_usd;payment_number;payment_qr;payment_link;payment_status;payment_expired;payment_reference_id;paided_at;status;created_at;created_by;updated_at;updated_by
1;5484;18748;21205;745;26590;18088;HKD;12847.4;17407;14781;bore athwart downchange;where wherever;decide;23153.07;10607.89;23924.27;11115.75;30069.33;15882.98;1596.08;11923.84;6295.33;25091.13;15140.54;5069.59;10739.79;32459.48;why soup;psst;fully happy-go-lucky;true;2025-04-08T11:40:17;because before now;2025-04-08T11:54:22;loftily;2025-04-09T01:16:59;20797;2025-04-08T10:41:22;31359
2;6714;32303;9818;18251;29356;21107;BRL;25967.75;10243;22949;a miscalculate;confiscate almighty poor;calculating nor young;3367.52;18954.82;18884.12;869.56;22846.73;27346.93;27788.37;21634.6;12390.1;26471.61;27160.53;15653.44;24274.55;10819.04;mmm apropos even;hmph;narrow however pfft;true;2025-04-09T02:20:20;concrete although upset;2025-04-09T07:18:03;gray emerge;2025-04-08T11:42:04;30904;2025-04-08T16:46:46;21806
3;21880;23178;535;7015;30193;11233;PHP;12985.61;16923;24973;disrespect waterlogged fond;without teriyaki;achieve evenly above;1416.76;27674.02;29206.28;6643.47;11349.68;17486.31;23296.15;2232.6;22295.91;24198.69;9334.68;25525.38;17729.05;2772.81;athwart keel over;dapper readies;publicity;false;2025-04-09T06:15:09;lyre gah though;2025-04-09T06:47:13;fooey;2025-04-08T23:21:17;32127;2025-04-08T13:29:27;32402
4;28372;0;5125;7361;6914;28681;MMK;906.74;32406;20105;physical yippee;knit;after;22118.06;376.68;20609.14;30188.15;15174.88;25660.11;31341.49;15345.54;12799.9;2129.48;12261.49;28013.34;6601.13;31901.66;scarily stunt;powerfully handy as;rectangular;true;2025-04-09T01:00:57;luck pick;2025-04-09T06:02:13;gah anxiously;2025-04-08T23:29:42;22706;2025-04-08T12:49:53;10357
5;5346;15208;9468;23813;3527;26004;SSP;30385.16;14566;11144;yuck whenever;phew;briefly deflect disloyal;2775.74;12595.61;13816.22;27751.62;18328.83;8136.26;20580.7;32179.53;1212.98;11855.65;18324.55;16972.38;6256.03;10099.58;obedience;inspection option;outside;true;2025-04-08T10:34:24;defiantly livid gadzooks;2025-04-09T07:19:32;beyond rim;2025-04-09T06:17:15;8695;2025-04-08T21:11:10;23189
6;2304;26221;20300;29535;31362;18496;AFN;32744.64;15673;22234;failing;inasmuch ew;whenever;32145.96;24652.6;21428.03;2547.3;10892.94;9791.1;14636.8;32726.16;29097.65;19210.48;1008.14;24370.71;12831.23;7297.22;underneath;sadly mid;meanwhile;false;2025-04-09T03:28:10;haunting exonerate daintily;2025-04-08T21:00:29;circa given claw;2025-04-08T22:36:10;21379;2025-04-08T09:42:46;29141
7;32585;6658;8147;30022;13308;20272;LYD;9650.68;30577;25014;energetically;fully;yippee;19883.56;3367.53;25923.94;23851.12;29454.14;22798.77;30229.64;9662.7;19583.69;17965.36;13404.77;8958.04;23131.88;21338.61;out;heartbeat yellowish;keenly why;false;2025-04-09T00:18:38;abscond bootleg;2025-04-09T06:48:15;consequently godparent why;2025-04-08T11:34:39;20684;2025-04-09T01:02:43;15141
8;1986;415;25423;28595;29975;28087;MRU;705.85;2164;32424;oddly innocently nightlife;where;gum out psst;29551.93;3164.88;16726.65;26450.48;12485.93;5049.68;32237.96;2433.39;29790.79;17974.08;1075.95;20203.14;29820.86;7345.19;for;glorious;fidget;false;2025-04-09T04:21:37;fork hose um;2025-04-08T10:25:30;thick till easily;2025-04-08T17:32:09;12968;2025-04-08T14:47:07;6468
9;31526;18995;30161;30943;2685;16462;INR;14266.44;26987;25892;remark;until fowl;round blue toward;2000.21;1775.7;12383.55;11449.8;31161.12;3953.59;13434.4;21492.52;23884.59;27197.14;16146.16;30207.51;4414.58;14830.8;modulo cow;well-documented frantically;yowza anenst;true;2025-04-08T09:05:30;lavish attest;2025-04-08T16:09:04;quirkily;2025-04-08T18:17:44;12701;2025-04-08T21:53:16;13386
10;30942;30862;2785;28875;29710;4327;BIF;16072.2;14503;23670;phew;bah airport;dimly;8420.68;22962.51;7780.37;27768.49;22445.7;6947.04;22667.05;17252.06;11237.4;28414.09;19197.14;26557.1;15547.36;22021.82;at list;uh-huh;zowie;false;2025-04-09T05:06:19;wasteful;2025-04-09T01:37:32;longingly;2025-04-08T12:14:08;5292;2025-04-08T14:23:57;21631
