id;transaction_id;customer_id;reason;created_at;created_by;updated_at;updated_by
1;13571;3481;sans oof;2025-04-08T18:01:21;3524;2025-04-08T10:40:32;28666
2;4384;14289;brand;2025-04-08T09:36:04;539;2025-04-08T17:48:06;24342
3;18477;5876;searchingly;2025-04-08T19:12:48;23620;2025-04-08T18:44:19;19391
4;28448;13480;because teriyaki;2025-04-08T13:32:43;20236;2025-04-09T00:45:53;10495
5;21070;8847;fun dereference;2025-04-08T19:44:54;8294;2025-04-09T04:40:31;5959
6;6119;27546;jubilantly minus regularly;2025-04-09T04:56:34;18960;2025-04-08T21:40:55;19421
7;15727;233;long-term only;2025-04-08T12:55:01;6368;2025-04-09T05:18:36;22854
8;27921;20689;scout part a;2025-04-08T20:54:36;27632;2025-04-08T15:46:01;30970
9;23976;8360;astride;2025-04-08T17:39:36;28584;2025-04-09T07:38:42;32526
10;12626;30344;wring;2025-04-08T10:16:27;18596;2025-04-08T10:12:07;983
