id;transaction_id;transaction_send_id;product_id;country_id;brand_id;code;parent_code;sku_code;name;name_en;description;description_en;tnc;tnc_en;how_to_claim;how_to_claim_en;image;denom;buying_price;buying_price_usd;price;price_usd;disc_price;disc_price_usd;total_price;total_price_usd;is_delivery;payment_status;status;is_code;voucher_link;voucher_code;voucher_pin;voucher_issuance;voucher_expired;voucher_reference;reference_number;error_code;error_reason;retry;blibli_item_id;created_at;created_by;updated_at;updated_by
1;3432;12726;15299;16688;6104;brr;guacamole;qua;likely moralise ugh;wound;father fairly thunderbolt;delirious aside;shanghai given offensively;apropos which an;fuzzy boo;afore including;pish;32428.55;13827.77;14454.93;25840.39;12366.13;23776.18;3714.81;8789.91;19255.76;false;true;false;false;physically but;adjourn;which information swiftly;yahoo for;2025-04-08T10:39:02;with petticoat oof;so extroverted meanwhile;criminal;supposing;true;true;2025-04-09T00:00:06;31364;2025-04-09T00:23:12;19162
2;12557;3501;25358;22876;7895;separately doubter;into slime;terribly;consistency enlightened;gratefully throughout regarding;mash whoa mediocre;frantically;now settler what;whether supposing;ouch;duh;likewise;331.46;802.31;26330.58;8800.22;8046.34;20474.62;14064.69;31936.38;15925.37;true;false;true;false;readily;scramble steep continually;wherever;ack;2025-04-09T06:09:20;filthy;or fooey;tabletop pearl miserably;by minister;false;true;2025-04-08T10:43:42;32680;2025-04-08T15:14:59;13177
3;7820;23413;5404;15761;20609;yum;unimportant er;hierarchy orange;er;woot;from;especially;next regarding;bashfully;after fowl hm;train spectacles;qua phooey;31569.28;15870.99;30373;14643.36;13960.17;5914.36;25830.51;13768.8;18790.16;true;false;true;false;whenever finally;catalog prejudge however;accidentally farmer duh;rule gad;2025-04-08T11:26:14;seldom supportive;bravely instead second-hand;basic;where;false;false;2025-04-09T02:56:26;21875;2025-04-08T11:39:35;7500
4;29178;21222;30013;4160;20518;netsuke;so;lest eulogise;aboard reassuringly happily;elevator instruction;ocelot redound waft;transom arbitrate bracelet;recklessly yawningly;um needily;lest fair misread;tensely cleaner evenly;optimal attribute;25303.98;1064.54;13019.79;6510.51;5221.97;29034.79;28937.69;28365.52;10341.45;false;true;true;true;apud once dirty;urban;stall recent;ceramics golden dishonor;2025-04-08T17:34:54;outrun so rectangular;hopelessly in;unlearn nicely boohoo;disposer while pasta;false;false;2025-04-08T09:08:07;32075;2025-04-08T23:37:17;20521
5;20977;26156;21631;6647;11024;circumnavigate internal;uh-huh worth pfft;frantically pretty mooch;thick;dependable seldom crumble;dependable recompense lest;mid gratefully;confusion concerning;mould;readily;willfully on;afore;15451.14;22986.32;7783.79;117.92;14030.7;13984.71;4246.13;19638.59;9358.06;true;false;true;true;functional;impassioned lest closely;homely yet futon;inasmuch westernize partially;2025-04-08T14:40:40;delicious longingly;meh smooth ah;provided;extra-large;false;false;2025-04-09T05:24:12;27919;2025-04-08T11:38:48;2769
6;23721;26701;13479;2941;3873;despite;tenant ick primary;decryption;swing;jovially athwart;um;over under;boulevard partial;cricket lobotomise if;opposite;and ack;devise better;28264.36;16933.14;30270.01;16868.38;17557.55;19101.23;16741.23;925.51;31081.9;false;true;true;true;sin;table;linear vet up;eek on team;2025-04-08T21:17:06;swordfish;aware failing cute;apropos ew excluding;underneath huzzah lively;false;false;2025-04-08T15:05:02;21137;2025-04-08T20:45:22;23643
7;6689;27943;16014;26931;31032;hm gosh;cruelty towards eek;uh-huh effector;ouch phew;until;cauliflower minister;wonderfully whenever;teriyaki definitive;kick since tennis;nearly;kaleidoscopic;pish hence pixellate;16941.96;28649.8;18273.52;3555.07;16442.99;26006.51;14186.9;28020.03;27321.48;true;false;true;false;wring scotch;duster;vague;geez tighten;2025-04-08T14:35:27;though wrathful aha;but symbolise;inasmuch sans;faithfully yowza tender;false;true;2025-04-08T22:18:56;19503;2025-04-08T10:47:23;378
8;32460;14076;3894;13644;12782;times including;cautious impanel yearly;hm grandpa;obediently if;excellent throughout;what;mmm greatly;adventurously;bell gosh moor;deprave into nor;boastfully fully;ugh;4590.67;20565.57;21047.32;17496.08;31031.46;9042.73;11645.63;16827.38;17534.82;false;false;false;false;dreamily than yowza;whereas;sleepily brr;besides;2025-04-09T00:14:46;fantastic acceptable;dual spirited recount;now cappelletti ceramics;mmm perfection finished;true;false;2025-04-09T04:40:20;892;2025-04-08T18:53:56;25665
9;21243;18440;26611;29393;23094;crackle abnormally moisten;elegantly;majestic supposing;disappointment zowie;hence galvanize hexagon;furiously;conclude consequently pry;iterate;scale phew fooey;between as;pack gigantic;softly;4120.66;17829.59;19235.92;29557.9;28618.83;11606.18;8354.41;22447.65;15084.28;true;true;true;false;seriously;forswear mould;creator needily abnormally;afford sharply;2025-04-08T17:57:54;pulp expostulate outside;recklessly;unpleasant but with;hm against;false;true;2025-04-08T19:30:14;9414;2025-04-08T20:00:02;30474
10;26400;21447;28081;24291;12335;weird;off inculcate;bah bustling impact;drat well oh;but ick;of once unto;acquaintance consequently oblong;afore jot;ack;bobble;cone;woot;17580.3;6522.63;6068.49;30915.08;6763.53;12822.42;11825.75;10052.55;32121.89;false;false;true;true;incidentally;despite blah;quirkily gym;outside;2025-04-09T01:34:24;draft um where;parade ah;tooth excluding;fooey solidly weatherize;false;false;2025-04-09T05:24:28;1886;2025-04-09T01:00:26;9562
