id;country_id;channel_id;image;name;description;is_period;from_date;to_date;link_type;link_url;priority;is_active;is_delete;created_by;updated_by;created_at;updated_at
1;19635;27436;vice dampen;how vanadyl;proliferate;false;2025-03-26T18:29:27;2025-03-26T18:27:41;gosh final;homeschool lest gosh;5887;true;false;7092;17882;2025-03-26T11:00:18;2025-03-26T23:57:45
2;11419;3592;oof experienced;yearly;sense wetly oh;false;2025-03-26T09:25:09;2025-03-27T05:19:39;oof down fooey;close despite indeed;8211;false;true;18625;4408;2025-03-26T20:32:20;2025-03-26T12:32:45
3;2642;13999;outsource on finally;as once ugh;mmm hmph;false;2025-03-26T11:56:15;2025-03-27T00:37:36;snarling from till;into however simple;18151;false;false;20993;15785;2025-03-26T20:26:11;2025-03-27T02:45:17
4;32767;14766;roger;rapidly furthermore;huzzah that than;true;2025-03-26T23:52:09;2025-03-26T11:36:08;happy now censor;ravioli quizzically;25299;false;true;12307;17890;2025-03-27T03:34:20;2025-03-26T19:40:07
5;1131;5814;wrong gee fervently;until;bleach;false;2025-03-26T16:49:45;2025-03-26T11:54:59;irresponsible;so forgery excluding;12344;false;false;6020;1546;2025-03-26T14:14:30;2025-03-26T21:17:11
6;24031;14618;pace;which;drat;true;2025-03-26T13:56:09;2025-03-26T20:30:19;fully ameliorate vice;moral brace table;13696;false;true;1351;19556;2025-03-26T14:57:03;2025-03-26T17:38:17
7;17242;2275;supposing disconnection provided;animated;presume;true;2025-03-27T02:25:41;2025-03-26T23:43:41;yahoo;loftily merrily;13640;false;false;13020;14918;2025-03-26T18:11:52;2025-03-26T23:04:53
8;10411;27740;compassionate whose validity;forsaken;abnormally alienated tedious;false;2025-03-26T10:43:11;2025-03-26T16:35:36;before;tremendously hose;919;true;false;21347;4873;2025-03-27T00:16:24;2025-03-26T11:51:03
9;14031;15774;ack insistent ordinary;oh quarrelsomely;whose mockingly wilderness;false;2025-03-26T19:40:21;2025-03-26T22:13:09;willfully;following;26560;false;true;7939;1501;2025-03-26T09:50:10;2025-03-26T23:33:33
10;10414;19859;indeed tightly;petty;than saturate case;false;2025-03-26T07:46:12;2025-03-26T21:47:37;once;thoughtfully upside-down yet;11094;true;true;6378;9379;2025-03-27T02:58:24;2025-03-26T17:10:45
