id;brand_id;country_id;province_id;city_id;district_id;village_id;zipcode;address;longitude;latitude;created_at;updated_at;created_by;updated_by
1;11393;11789;17704;28741;26010;10624;gummy inasmuch flight;comb intently;whoever instead;indeed;2025-03-26T18:43:24;2025-03-27T04:39:38;29336;24727
2;10168;8349;17437;2931;7461;23173;coaxingly;pupil;convoke blindly radiant;tinderbox dock;2025-03-26T22:20:11;2025-03-26T18:27:01;3763;26211
3;26841;11269;4845;21124;30762;28560;till pace up;mysteriously poorly outside;goodwill;provided coincide;2025-03-26T17:47:35;2025-03-26T17:18:08;16055;3354
4;10162;31265;13710;28053;4731;12529;than lest majestically;icy towards ick;white till lucky;worthy apropos;2025-03-26T14:11:45;2025-03-27T02:12:36;28482;18118
5;26149;10111;13287;1763;29048;13682;scoop;father decode object;galvanize beyond;gosh sharply;2025-03-26T21:28:37;2025-03-26T19:12:36;18356;11877
6;4434;94;6234;30921;29668;25773;after boo inasmuch;upon;upon indeed concerning;with reckon but;2025-03-26T20:21:50;2025-03-26T11:36:24;3978;3903
7;28979;26323;25576;3120;13594;15038;since;forager westernise sham;issue yowza;drat;2025-03-27T01:06:16;2025-03-27T00:51:55;17060;32182
8;12273;4433;26180;1625;22543;4150;yippee;grimy;wasabi meh draft;psst self-assured;2025-03-26T21:44:14;2025-03-26T10:54:34;16448;2319
9;21322;18802;19732;17306;19879;23728;upbeat amend selfishly;interestingly howl navigate;against under fiercely;frightfully and;2025-03-27T03:30:42;2025-03-26T16:21:11;19718;13009
10;9574;7814;13756;20957;32747;3791;phooey shy;taxicab fooey;overdub;cavernous gosh;2025-03-26T07:43:46;2025-03-26T23:09:48;22856;18739
