id;brand_id;card_message_id;created_at;created_by;updated_at;updated_by
1;9853;15170;2025-03-26T16:26:01;8698;2025-03-26T08:07:45;9865
2;1721;6272;2025-03-27T06:42:35;2154;2025-03-26T23:48:52;19687
3;4304;4785;2025-03-27T01:46:47;11007;2025-03-26T17:46:31;25085
4;4765;4220;2025-03-26T15:51:19;11761;2025-03-27T06:14:41;30528
5;7994;20668;2025-03-26T13:27:40;26323;2025-03-26T12:31:18;19651
6;31422;30801;2025-03-26T17:56:31;26162;2025-03-26T15:28:19;17430
7;27157;19532;2025-03-26T13:15:39;20621;2025-03-26T18:57:03;8409
8;13402;32681;2025-03-26T13:06:51;9647;2025-03-26T11:44:06;32664
9;6290;29493;2025-03-26T13:52:05;16019;2025-03-26T17:09:18;31588
10;32378;242;2025-03-27T04:09:09;9664;2025-03-26T22:53:15;3031
