id;brand_id;category_id;created_at;created_by;updated_at;updated_by
1;6261;20738;2025-03-27T03:19:57;27462;2025-03-26T15:16:11;1829
2;24910;2088;2025-03-26T07:10:07;1651;2025-03-27T03:02:42;8683
3;24186;18490;2025-03-26T22:16:59;8723;2025-03-27T03:24:01;7803
4;9343;16503;2025-03-27T02:42:44;16951;2025-03-26T09:58:51;30157
5;6570;10216;2025-03-26T11:40:29;25380;2025-03-27T01:56:35;15713
6;29441;11223;2025-03-26T12:44:46;24784;2025-03-26T13:03:43;29169
7;29475;29979;2025-03-27T04:36:04;11745;2025-03-26T12:45:19;10315
8;1011;24200;2025-03-27T03:42:11;30337;2025-03-26T21:50:20;16216
9;9350;19469;2025-03-26T17:13:00;8886;2025-03-27T06:34:48;3905
10;10342;7098;2025-03-27T04:03:28;11225;2025-03-27T01:39:28;26397
