id;brand_id;product_id;created_at;created_by;updated_at;updated_by
1;18696;8664;2025-03-27T01:49:54;20091;15079;8873
2;15444;2124;2025-03-26T07:52:11;10658;21998;15366
3;9717;14350;2025-03-26T13:10:42;25046;547;3529
4;13077;25116;2025-03-26T16:05:34;29709;2331;12301
5;1098;6101;2025-03-27T00:37:02;11552;12171;9930
6;1849;5245;2025-03-26T18:07:01;30487;32554;1994
7;3188;20650;2025-03-27T02:01:35;7144;31435;15874
8;21353;20973;2025-03-27T06:50:37;18121;28799;32765
9;27680;16039;2025-03-27T01:31:22;29548;29066;5502
10;1220;12357;2025-03-27T06:08:54;5956;27022;6632
