id;brand_id;sticker_id;created_at;created_by;updated_at;updated_by
1;16067;9224;2025-03-27T05:55:44;30652;2025-03-26T12:07:36;459
2;12257;4882;2025-03-27T03:42:02;31508;2025-03-27T01:00:37;7583
3;28384;27949;2025-03-26T09:38:15;728;2025-03-26T09:54:37;1353
4;10517;388;2025-03-26T11:47:23;1192;2025-03-26T18:23:14;11244
5;20967;32705;2025-03-26T09:02:03;2435;2025-03-26T09:57:11;14595
6;7478;15784;2025-03-27T00:59:50;3407;2025-03-27T01:19:31;24250
7;8732;7563;2025-03-26T13:22:19;14660;2025-03-26T12:14:06;18041
8;4689;8997;2025-03-26T16:14:33;15803;2025-03-26T10:13:46;11979
9;12941;8018;2025-03-26T23:15:26;6511;2025-03-26T17:44:05;9654
10;4847;309;2025-03-27T03:41:25;7049;2025-03-26T07:23:08;26533
