id;country_id;occasion_id;title;title_en;message;message_en;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;1416;11463;robust whereas pish;kaleidoscopic;fantastic without;coop after;true;false;2025-03-26T20:25:05;32183;2025-03-26T17:48:32;10872
2;27081;2297;desecrate than;within oof for;undergo cheerfully;potentially;true;false;2025-03-26T12:41:27;15336;2025-03-27T05:00:03;1076
3;12283;12687;when;a aw as;till;please;false;true;2025-03-26T23:30:34;9178;2025-03-26T20:31:03;22212
4;9574;12499;meh yowza;uh-huh;jaggedly;editor;true;false;2025-03-26T10:50:35;11441;2025-03-27T00:22:27;19767
5;10160;8699;junior jell gosh;hubris;construe;once wrong infinite;false;true;2025-03-26T08:24:11;32640;2025-03-27T05:57:48;27136
6;16206;1201;well-documented;shakily loyally secrecy;disinherit;now mmm;false;true;2025-03-26T20:14:48;6692;2025-03-26T15:45:29;15228
7;20711;10743;true yarmulke;scholarship;opposite accurate even;without whose;true;true;2025-03-26T22:56:36;20250;2025-03-26T10:59:56;19426
8;2666;25075;certification jury athwart;strictly pinion;regarding woot;foodstuffs;false;false;2025-03-27T03:28:58;32083;2025-03-27T00:09:08;29748
9;29791;4927;who;valuable fun;that;aha now;false;true;2025-03-27T03:48:40;7676;2025-03-26T22:11:21;1522
10;1500;25469;before almost;sandy clumsy;bah to hmph;velocity affect;true;true;2025-03-26T19:18:15;29972;2025-03-26T23:14:19;10670
