id;country_id;image;name;name_en;priority;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;3440;waist like represent;eek woot drat;majestically colorfully;4039;false;false;2025-03-27T06:10:10;20276;2025-03-27T02:04:59;29274
2;30508;lightly;drat furthermore;provided;32086;false;true;2025-03-27T04:51:43;19655;2025-03-27T07:06:43;30366
3;21500;smug;honesty;transparency usually along;10659;false;true;2025-03-27T00:11:48;13107;2025-03-26T13:53:40;17994
4;2570;readmit;needily what surface;topsail ready;27277;true;false;2025-03-26T08:17:48;14266;2025-03-26T11:30:53;13878
5;27785;criminal;colorize ha;meanwhile;9012;false;true;2025-03-26T09:18:01;7806;2025-03-26T20:55:52;25883
6;16112;drat vainly veto;knowingly;gah blah;11010;true;false;2025-03-26T17:47:06;2532;2025-03-26T10:26:28;26813
7;22409;independence vice;procurement adaptation;eyeglasses mild;13217;true;true;2025-03-26T20:52:44;14390;2025-03-26T10:10:03;28933
8;21943;affectionate finished;whenever;juicy afore;16406;true;false;2025-03-26T13:52:40;312;2025-03-26T20:11:01;10533
9;19656;hospitalization verbally;because;productive gah;1622;true;false;2025-03-26T18:05:08;3579;2025-03-26T07:39:01;12517
10;3765;of;conservative impostor famously;whoa beyond satisfy;32048;true;true;2025-03-27T04:43:41;12496;2025-03-26T08:36:56;12291
