id;channel_id;brand_id;priority;created_at;created_by;updated_at;updated_by
1;11682;32545;true;2025-03-26T13:50:29;4638;2025-03-27T02:29:04;12032
2;19277;16822;true;2025-03-26T12:00:24;11709;2025-03-26T10:37:48;10034
3;26770;3391;false;2025-03-27T02:12:39;24851;2025-03-26T16:19:39;26490
4;4381;8842;true;2025-03-26T08:23:32;30317;2025-03-27T05:27:26;28952
5;18484;1589;false;2025-03-26T20:16:52;21702;2025-03-27T01:08:05;20652
6;30634;2766;true;2025-03-26T17:50:56;16337;2025-03-26T22:53:04;18267
7;2879;26618;false;2025-03-26T08:40:12;11781;2025-03-26T07:45:13;30183
8;14497;8348;false;2025-03-26T09:54:25;11697;2025-03-26T13:26:45;2065
9;15413;12169;true;2025-03-26T10:00:40;25717;2025-03-26T23:09:01;9803
10;29444;28914;false;2025-03-26T19:36:56;23608;2025-03-26T16:10:29;2124
