id;channel_id;card_message_id;created_at;created_by;updated_at;updated_by
1;26939;13184;2025-03-26T09:14:01;13364;2025-03-26T15:35:52;22151
2;7663;30796;2025-03-26T16:28:58;24448;2025-03-26T20:13:49;27781
3;24534;19371;2025-03-26T08:57:54;17433;2025-03-27T01:26:58;29717
4;26099;5872;2025-03-27T04:09:28;12887;2025-03-27T04:31:05;15629
5;11614;28188;2025-03-27T04:51:08;22215;2025-03-27T02:57:32;8708
6;9030;20547;2025-03-26T11:43:56;24757;2025-03-26T13:58:41;4303
7;7540;22026;2025-03-26T11:12:32;6724;2025-03-26T13:13:46;31619
8;9065;24027;2025-03-26T23:59:10;14953;2025-03-27T07:28:46;18584
9;22513;10613;2025-03-26T09:41:13;8745;2025-03-26T13:56:13;23314
10;29607;23704;2025-03-26T17:32:04;5396;2025-03-26T18:53:29;23996
