id;channel_id;category_id;priority;created_at;created_by;updated_at;updated_by
1;8639;17705;true;2025-03-26T11:18:38;531;2025-03-26T21:47:04;8906
2;30400;20474;false;2025-03-26T11:33:23;7846;2025-03-26T17:38:40;13280
3;25388;7707;false;2025-03-27T03:27:29;10554;2025-03-26T09:51:18;27500
4;29533;19903;false;2025-03-26T10:54:36;27918;2025-03-27T05:39:55;11847
5;10218;21488;false;2025-03-27T03:06:02;15255;2025-03-26T08:13:17;17816
6;27303;29510;false;2025-03-26T17:05:12;6039;2025-03-27T04:40:58;22666
7;30546;20556;true;2025-03-26T20:06:09;21230;2025-03-26T14:36:13;9163
8;14347;128;true;2025-03-27T03:39:14;20074;2025-03-27T01:32:06;8658
9;2794;31363;true;2025-03-26T21:45:48;18334;2025-03-27T02:34:31;21159
10;19440;30016;true;2025-03-26T12:32:19;4582;2025-03-27T01:55:55;16501
