id;channel_id;occasion_id;priority;created_at;created_by;updated_at;updated_by
1;153;1406;true;2025-03-27T05:39:25;32388;2025-03-26T17:51:30;16841
2;8814;10529;false;2025-03-26T21:53:34;26248;2025-03-27T04:25:24;1867
3;510;628;true;2025-03-26T18:14:17;2524;2025-03-27T07:15:34;14744
4;8649;26427;true;2025-03-26T10:20:28;11095;2025-03-27T05:42:32;9906
5;13763;13548;true;2025-03-26T19:51:32;18143;2025-03-27T02:23:08;25914
6;29459;21845;false;2025-03-27T03:19:30;10185;2025-03-26T11:56:28;10154
7;19919;1281;false;2025-03-26T17:29:03;3524;2025-03-27T04:02:50;20871
8;24186;4527;false;2025-03-27T03:52:56;15894;2025-03-26T09:54:59;281
9;32396;24208;true;2025-03-26T16:02:21;17877;2025-03-26T13:01:06;29747
10;27924;23973;false;2025-03-27T03:43:48;20325;2025-03-26T14:25:14;31684
