id;channel_id;product_id;created_at;created_by;updated_at;updated_by
1;1282;32201;2025-03-26T20:07:25;28888;2025-03-26T09:58:33;13857
2;4352;9821;2025-03-27T02:06:17;7209;2025-03-26T23:34:56;32507
3;21094;17389;2025-03-26T11:06:09;21453;2025-03-27T04:43:37;3573
4;25257;10426;2025-03-27T01:12:29;18002;2025-03-26T11:43:22;1035
5;7276;8983;2025-03-27T00:57:25;27358;2025-03-26T17:58:38;27433
6;32414;22853;2025-03-26T19:16:35;11026;2025-03-27T00:15:17;7090
7;3533;10735;2025-03-27T06:00:28;1384;2025-03-26T13:07:25;30670
8;25327;2997;2025-03-27T06:50:38;18277;2025-03-26T23:57:38;27874
9;30625;4549;2025-03-26T16:08:39;6010;2025-03-27T04:42:53;20837
10;7541;9305;2025-03-26T20:31:44;31787;2025-03-27T01:09:33;7196
