id;channel_id;sticker_id;create_at;created_by;updated_at;updated_by
1;18572;6667;2025-03-26T17:27:49;12669;2025-03-26T08:24:03;25993
2;27178;26599;2025-03-27T06:26:42;14581;2025-03-26T18:38:22;2210
3;6513;25701;2025-03-26T23:27:49;28136;2025-03-26T14:21:32;2988
4;28403;26107;2025-03-26T17:02:16;29433;2025-03-26T15:22:56;31669
5;29617;22289;2025-03-26T12:03:59;9035;2025-03-27T06:23:37;12775
6;5310;18694;2025-03-27T01:38:00;25328;2025-03-26T08:01:32;6083
7;32268;3369;2025-03-26T09:21:40;31721;2025-03-26T17:18:36;9472
8;18018;16705;2025-03-26T15:34:37;24581;2025-03-27T06:37:10;30424
9;25873;4574;2025-03-26T22:13:38;32525;2025-03-26T08:52:59;3229
10;22996;24561;2025-03-26T13:59:54;13531;2025-03-26T11:12:53;5948
