id;client_id;product_id;created_at;created_by;updated_at;updated_by
1;6216;5059;2025-03-26T09:27:49;24516;2025-03-26T12:57:59;19083
2;24839;6385;2025-03-27T06:30:54;14069;2025-03-27T06:12:52;17138
3;25842;28715;2025-03-27T04:06:15;31808;2025-03-27T02:00:34;3764
4;30971;30152;2025-03-26T10:47:24;22990;2025-03-26T16:09:14;26918
5;31978;31174;2025-03-26T08:26:50;14146;2025-03-26T19:44:37;596
6;18126;46;2025-03-26T21:07:06;23693;2025-03-27T01:57:20;21749
7;14155;30811;2025-03-26T23:02:24;10575;2025-03-27T02:26:01;25771
8;23823;8979;2025-03-27T03:05:18;5436;2025-03-27T02:34:09;25034
9;2524;6674;2025-03-26T21:35:28;30396;2025-03-26T21:44:29;6646
10;1721;21018;2025-03-26T19:10:03;17498;2025-03-26T08:57:15;21611
