id;code;name;flag;language;currency_id;timezone;utc_offset;sale_channel_code;application_seq;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;ownership around;debit poor institutionalize;worth sternly;famously above;27886;silently unethically;pfft hoof;toward quaintly mostly;743;false;true;13597;8942;2025-03-26T17:37:32;7261
2;and although boss;slink almost than;antagonize ultimately;for about;6780;ring;telescope;where gleefully bah;30133;true;true;7804;1400;2025-03-27T03:47:51;24220
3;ski;know sheathe mild;hmph meanwhile poetry;triumphantly oh;21509;till puzzled;properly wide-eyed calmly;govern pfft;14146;false;false;29376;27318;2025-03-26T17:44:02;29249
4;fluctuate plus;finding;obtrude;past;16331;now;pace gape entwine;yesterday;24751;true;true;31064;2125;2025-03-27T00:04:19;13009
5;excluding;colligate;parody;till compassionate;6466;um supposing;phooey;although hospitalization egg;23009;true;true;14244;14724;2025-03-26T14:50:18;15791
6;gadzooks croon;tenant per;overreact;um yet educated;9045;rim suspiciously;fondly cricket poetry;hungrily while;23568;true;true;7090;22354;2025-03-27T04:50:07;18740
7;so aggravating planula;now;finding;absentmindedly aha why;14397;yowza;store;abaft whether amnesty;1184;false;true;5165;19503;2025-03-27T04:55:48;4513
8;the determined;ack;angelic;yeast;21334;past aware;after reclassify limply;so safeguard plain;14591;false;true;17281;27950;2025-03-26T21:37:25;1698
9;patiently;than ruddy solicit;industrialize wordy t-shirt;rightfully legislature successfully;55;brr blight;who;cruelly;7134;true;false;25616;28109;2025-03-27T05:28:19;28397
10;how alert lasting;phew rich;configuration ugh;gadzooks provided;27186;familiar with;wry astonishing pike;ack;8988;true;false;30953;30928;2025-03-26T22:46:31;253
