id;code_from;code_to;real_rate;rate;for_date;created_at;created_by;updated_at;updated_by
1;till however;definite;32445.73;4895;2025-03-26;2025-03-26T22:12:19;1297;2025-03-26T22:45:25;5175
2;lone;vary wide-eyed appropriate;16503.11;31445.11;2025-03-26;2025-03-26T16:16:57;27098;2025-03-26T15:06:40;9863
3;tut where behind;plan;4086.6;13046.11;2025-03-27;2025-03-26T15:47:20;14821;2025-03-27T03:23:34;16762
4;from;vision butter;11306.08;287.7;2025-03-27;2025-03-27T08:37:53;18450;2025-03-27T06:42:12;14281
5;woot dependency greedy;machine outside;31879.45;5506.06;2025-03-27;2025-03-26T10:43:30;13372;2025-03-27T02:50:46;13306
6;with signature snoop;bah hole;24448.25;22128.28;2025-03-27;2025-03-26T19:57:26;11583;2025-03-26T23:04:15;15604
7;aw offset annually;round;28060.76;9413.51;2025-03-26;2025-03-26T17:19:29;560;2025-03-27T07:45:01;4076
8;save how;for massage cutlet;32702.09;761.65;2025-03-26;2025-03-27T07:01:56;20573;2025-03-27T04:13:26;11327
9;homeschool ah;biodegradable rebuild;1762.88;3357.71;2025-03-27;2025-03-27T07:46:36;1418;2025-03-26T15:59:23;18287
10;incidentally;defiantly geez rusty;939.49;14085.82;2025-03-27;2025-03-26T11:45:34;20465;2025-03-27T08:16:00;11804
