id;customer_id;ip_address;device;user_agent;is_login;created_at;created_by;updated_at;updated_by
1;29270;behind;though hopelessly;hasty;true;2025-03-27T03:12:21;942;2025-03-26T13:23:13;20610
2;16087;direct birdbath institutionalize;of meaningfully ride;apprehensive spiffy extroverted;false;2025-03-27T06:49:28;486;2025-03-26T18:19:31;25847
3;25798;flawless nor;cop evil;besides;false;2025-03-26T14:50:04;10636;2025-03-26T11:51:49;18962
4;12249;opposite;yuck chip manipulate;boggle;true;2025-03-26T09:49:37;11229;2025-03-26T11:59:07;31954
5;27932;unripe;turbulent;jury knowledgeably;false;2025-03-27T05:01:50;3014;2025-03-27T08:42:28;7681
6;8079;scamper icy;who;who;false;2025-03-26T14:46:17;32354;2025-03-26T13:06:55;11195
7;4174;as;although apologise next;even sleepily lazy;true;2025-03-26T15:07:47;21284;2025-03-26T12:34:30;13292
8;15916;as yawn;pfft;querulous;false;2025-03-27T05:53:08;162;2025-03-27T03:21:42;18315
9;29468;onto;gee selfishly;reporter clone;false;2025-03-27T02:55:24;16815;2025-03-27T04:41:33;17294
10;13816;tankful oh lest;swim noteworthy yieldingly;below frankly;true;2025-03-27T09:25:08;7265;2025-03-26T12:24:23;30702
