id;customer_id;transaction_id;transaction_detail_id;url_link;type;title;info;is_read;created_at;created_by;updated_at;updated_by
1;10115;25723;28872;dual;8550;sell onto;aw whenever after;true;2025-03-27T06:46:27;16995;2025-03-27T02:30:24;25333
2;11153;24492;11248;aboard so hm;15191;bakeware;fireplace more;false;2025-03-27T05:16:00;19866;2025-03-26T14:25:16;11307
3;17747;19564;23309;murky;14835;ignorance daddy;fruitful gah gosh;true;2025-03-27T06:28:22;1065;2025-03-27T05:34:33;9395
4;29397;28487;21494;congregate unique;7397;aboard vice;maestro;true;2025-03-27T01:08:17;5771;2025-03-26T23:05:32;7096
5;32595;10240;8214;whoa;14645;and;correctly pish mouser;true;2025-03-26T10:28:31;1703;2025-03-26T15:51:20;19021
6;6532;5441;22045;why yowza;6184;since boldly defenseless;grade;false;2025-03-26T19:23:17;6726;2025-03-27T07:57:59;12659
7;3395;23758;12431;phooey heroine since;6643;oddly separate manage;display snarling;false;2025-03-26T19:24:00;27007;2025-03-26T15:43:43;27264
8;23178;18516;30690;since forenenst;30381;unwilling;enrich;false;2025-03-27T04:01:43;1097;2025-03-26T10:56:52;9110
9;16399;11849;19799;ceramic;18546;duh;stuff;true;2025-03-26T11:30:26;23426;2025-03-26T10:05:52;14554
10;7188;15676;21705;circa;16937;potable;times;false;2025-03-26T12:07:59;27014;2025-03-26T21:48:31;27780
