id;discount_id;product_id;price_normal;discount_type;discount_amount;price
1;17757;28231;2846.04;duh psst gee;19011.61;846.04
2;6542;21332;3587.96;until cautiously augment;22436.5;846.04
3;5630;23849;8925.78;right;30037.96;846.04
4;8631;17668;17044.51;wisecrack ugh ha;4224.59;846.04
5;14740;13802;3987.89;extract;20931.88;846.04
6;23442;28014;29030.07;taxicab release staid;30477.69;846.04
7;11332;20644;5457.61;gosh;21279.29;846.04
8;14472;30072;3064.9;brr generously;26676.43;846.04
9;12883;804;8792.66;bouncy blah whoever;1550.16;846.04
10;23978;27118;1913.74;bump knuckle;23360.46;846.04
