id;code;name;base_curr_name;base_curr_code;base_curr_symbol;is_active;status;created_at;created_by;updated_at;updated_by
1;mmm sailor;yet scarily rebound;oddly;wing ick;aboard painfully;false;true;2025-04-07T20:54:29;1193;2025-04-07T07:58:25;1923
2;coil scaffold;nor;overcooked lest even;phooey representation until;opposite royal off;true;true;2025-04-07T10:51:15;17130;2025-04-07T15:23:25;21120
3;livid giggle immediately;transcend inwardly major;as;junior;since;true;true;2025-04-07T20:26:39;14362;2025-04-08T05:26:58;32726
4;on but ah;why same pfft;fiercely;vicinity the;quarrelsomely zowie;true;true;2025-04-08T03:31:42;22104;2025-04-08T03:37:22;23433
5;fence reel adventurously;gah;readily grass;unethically;nor dimly;false;true;2025-04-07T10:44:13;13551;2025-04-07T16:22:45;32662
6;towards asset king;char;expatiate evenly;marathon mathematics;huzzah;true;false;2025-04-07T20:58:21;16875;2025-04-08T00:52:54;26591
7;aboard ick eek;confound;fence versus however;needily;aw;true;true;2025-04-07T21:33:13;4400;2025-04-07T08:26:28;10669
8;import whenever finer;zowie;duh;innovation barracks skeleton;carboxyl;false;false;2025-04-07T06:48:14;5128;2025-04-07T22:27:46;30120
9;before jumbo;where unnecessarily;frivolous debit severe;pish playfully ick;forenenst;true;true;2025-04-07T10:15:28;26431;2025-04-07T06:14:45;2857
10;geez whose;gee offset;than;uncomfortable;swim because;true;false;2025-04-07T13:30:37;7341;2025-04-07T06:23:45;6775
