id;country_id;province_id;city_id;name;jne_code;si_cepat_code;is_active;status;created_at;created_by;updated_at;updated_by
1;6156;1122;2272;miserly;ugh psst;winged terribly;false;false;2025-04-08T04:51:13;14945;2025-04-07T21:14:46;6737
2;28339;15459;21654;when um rigid;excitedly;rusty;true;false;2025-04-07T16:18:55;10618;2025-04-07T11:56:51;31373
3;26720;29654;2840;pfft cook delirious;before pace;obediently loyally;true;true;2025-04-07T22:52:24;20773;2025-04-08T00:07:18;1370
4;6024;25814;18975;slowly request;reassemble;ack;true;false;2025-04-07T16:14:34;3105;2025-04-07T15:04:41;19005
5;20440;17316;27932;consequently drag;coaxingly;team victoriously premium;false;false;2025-04-07T14:06:55;30166;2025-04-07T04:54:21;11793
6;235;24145;3487;incidentally over;starboard;because when ah;true;true;2025-04-07T23:04:28;30226;2025-04-07T18:50:04;25575
7;32265;11590;29659;seriously atop;mushy;woefully lost glisten;false;true;2025-04-07T05:30:05;29968;2025-04-07T16:10:11;8840
8;191;14408;27277;aggressive gee;not papa;too;true;false;2025-04-07T17:16:57;6739;2025-04-07T08:46:16;7669
9;2251;4031;23727;aw catch;seldom doting;hopelessly;false;false;2025-04-07T18:50:23;11778;2025-04-07T07:13:45;10828
10;8559;32642;9112;definite;propound;impressive worth;false;false;2025-04-07T11:03:50;29684;2025-04-07T23:41:46;31484
