id;country_id;province_id;city_id;district_id;name;courier_price;is_active;status;created_at;created_by;updated_at;updated_by
1;23110;6878;26281;14990;diver ferociously down;7083.56;true;false;2025-04-07T23:24:06;24550;2025-04-07T23:18:55;23326
2;13497;15055;17374;32172;failing outlying ick;14814.85;false;false;2025-04-07T08:24:17;19530;2025-04-07T11:11:32;8486
3;19903;11288;25434;15180;until once humiliating;30392.59;true;true;2025-04-07T07:15:00;27001;2025-04-07T14:43:13;22031
4;13302;8498;12780;3230;um reflate;16314.79;true;false;2025-04-07T13:13:39;3221;2025-04-07T22:12:30;1038
5;30425;12540;21343;13756;newsstand;14728.79;true;false;2025-04-07T15:57:34;1635;2025-04-08T04:10:49;31205
6;327;22902;11519;11583;teriyaki partially;15973.42;true;true;2025-04-07T18:15:21;15302;2025-04-08T02:00:34;15403
7;23891;18226;9814;32092;babushka solidly freely;4472.61;true;false;2025-04-07T09:18:35;14099;2025-04-07T20:53:10;15932
8;32760;19263;17178;458;lest but;5226.7;false;false;2025-04-07T22:49:43;13710;2025-04-07T20:58:21;14442
9;3364;20304;19862;10295;save;1174.61;false;true;2025-04-07T10:07:14;28181;2025-04-07T09:46:26;16340
10;29782;22641;14723;3987;mid;16103.84;true;true;2025-04-07T12:32:51;16237;2025-04-07T18:13:58;14756
