id;parent;name;menu;uri;icon;priority;location;controller
1;12301;always because;futon access;however minus;yahoo brr coil;overproduce overvalue;thorn for;along fabricate
2;11418;whereas conversation round;oxidise bare;before unibody via;teeming terrorise however;unrealistic;forecast until;um
3;28252;ride gosh;of;yahoo where how;via uncover;where;eek before;an
4;9871;presell;while;lobotomise rebel;down so briefly;waterspout yum;overheard fashion;who
5;26210;wise;whose colorfully ah;drug hmph;too;nicely;through apud;furthermore
6;6692;fat vast;er;concerning since;if for quizzically;since woot pfft;athwart duh importance;cheerfully
7;12220;aside disk while;anti;yippee and alongside;back inside;solicit;versus;even phooey
8;875;into;than;boohoo stiffen;indeed angle usefully;woot inasmuch terraform;roundabout freckle with;traffic
9;4795;chops;pendant;amongst;inasmuch gym ouch;absentmindedly indeed;opposite;tune smart factorise
10;25258;dampen kiss buttery;bashfully suspiciously;rear hunger tame;mysteriously;gadzooks;whether engage meanwhile;lazily
