id;type;status;name;language;content;ext_status;ext_id;category;mappings;created_at;updated_by;updated_at;created_by
1;costume an vague;true;ack huzzah hence;while;who if;times whenever;2596;cellar repeat like;finally round when;2025-04-08T05:07:43;9297;2025-04-07T10:34:42;8979
2;ouch entire playfully;true;gnash who;knottily till anenst;huddle gah;familiarize;19307;over whether;govern over weep;2025-04-07T20:03:02;17034;2025-04-07T19:10:32;7806
3;after dramatize dream;true;sharply toaster angle;usefully extroverted sandbar;honestly as;mysteriously metabolite roughly;19733;hm exasperation swelter;seriously huzzah hornet;2025-04-07T14:00:41;24907;2025-04-07T18:28:09;20401
4;er trolley than;false;omelet rotten cone;inside naughty peony;catalyze after shyly;whereas woot;17519;extent;or testing distant;2025-04-07T15:12:42;28244;2025-04-08T02:46:33;26385
5;true;true;why prickly;geez invite following;scared kick;er delete begonia;8655;whoever westernize;chow charter;2025-04-07T19:26:46;2658;2025-04-07T19:57:44;29541
6;if blindly;false;coal;but er;straight minus uselessly;yowza persecute;8649;yum;slump ouch;2025-04-07T12:43:23;23077;2025-04-07T18:36:16;4966
7;drug;false;boo whether absentmindedly;waterspout;blah;meanwhile;21267;lustrous;when yum gah;2025-04-07T13:16:08;4815;2025-04-07T18:37:32;3212
8;whereas dime economise;true;gleefully cumbersome;toward starboard;heavenly athwart selfishly;fast pro;12418;pigpen;though furiously;2025-04-08T04:06:32;19359;2025-04-07T16:05:36;19955
9;frugal;true;beneath;wonderfully complication;searchingly louse beneath;outdo zowie chatter;17526;as ouch;mealy deeply yahoo;2025-04-07T18:47:07;7812;2025-04-07T23:29:41;20894
10;fabricate;false;weight whoa secularize;why muted lest;legal ceramics;ugh so iterate;10757;woot linseed;cutover anenst;2025-04-07T06:58:18;7751;2025-04-07T15:44:54;18354
