id;country_id;image;name;name_en;priority;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;18035;jumbo via self-reliant;adaptation zowie before;continually edge phooey;healthily overconfidently;true;true;2025-04-07T17:36:28;17548;2025-04-07T09:00:32;9588
2;12325;beyond er;jubilantly vast enrich;closely pfft too;um;false;false;2025-04-07T21:03:26;11062;2025-04-07T12:09:08;28281
3;27971;likewise;lanky;apud extremely;wholly following so;false;true;2025-04-08T05:51:39;27370;2025-04-07T12:53:44;10592
4;21271;fatherly;for;as;merrily finding;true;false;2025-04-07T21:36:46;3373;2025-04-07T15:57:45;6976
5;15229;till metabolite;thorn;starch;design accidentally black-and-white;true;true;2025-04-07T10:16:21;22303;2025-04-08T01:23:10;29530
6;22810;per unfortunately;for;astride;ah phew;false;false;2025-04-07T11:11:48;30877;2025-04-07T07:13:01;409
7;23643;that;thankfully other huzzah;a inasmuch;boohoo palatable up;false;false;2025-04-07T15:43:27;832;2025-04-07T20:16:03;20013
8;9025;truly;turbulent mid;devoted respray;brr mid majestically;false;true;2025-04-07T09:28:36;9191;2025-04-08T06:04:35;17021
9;29646;chairperson bah;spice plus;midst provided yuck;like wherever about;true;true;2025-04-07T10:06:01;892;2025-04-08T04:26:30;19254
10;11609;essay meh;unto opposite personalise;dereference morbidity tentacle;behest;false;false;2025-04-07T19:47:39;29978;2025-04-07T15:52:15;1567
