id;name;description;description_en;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;since;valley;providence yearly overload;false;false;2025-04-07T20:22:07;19908;2025-04-07T12:26:07;13673
2;preregister where arbitrate;weighty;so triumphantly phew;false;false;2025-04-07T15:59:42;29267;2025-04-07T23:28:21;3285
3;if sympathetically procrastinate;when;frankly;false;true;2025-04-07T14:35:26;13541;2025-04-07T08:44:43;25241
4;unethically;seldom tribe;once;true;false;2025-04-08T01:39:24;24931;2025-04-07T19:49:00;7268
5;upwardly presume how;phooey nutritious;white;true;true;2025-04-07T10:05:33;24410;2025-04-07T19:10:25;20073
6;reword;ugh;jaggedly murky;true;true;2025-04-07T08:39:15;22443;2025-04-07T11:48:50;7862
7;middle oval gosh;scared duh;yuppify hot;false;true;2025-04-08T06:29:07;28208;2025-04-07T07:56:26;24103
8;fabricate fooey;stage ignorance truly;forenenst;false;true;2025-04-07T19:14:08;6817;2025-04-07T07:32:46;31465
9;vet into dereference;blah;aw till;false;true;2025-04-07T10:06:08;30639;2025-04-07T21:25:13;30035
10;catch;pace oh;unto where;false;true;2025-04-07T08:53:44;17972;2025-04-08T00:57:04;4164
