id;provider_id;payment_id;code;percent_fee;fix_fee;how_to_pay;is_active;is_delete;created_at;created_by;updated_at;updated_by
1;19766;23970;consequently;19763.43;15314;inquisitively solemnly;false;true;2025-04-07T19:27:56;19945;2025-04-07T08:12:16;29460
2;1788;14743;infamous yearningly;17582.5;17233;indelible;false;false;2025-04-07T16:02:49;19933;2025-04-08T04:02:19;30451
3;11694;5079;triumphantly inscribe drab;20886.73;14519;gadzooks blah whose;false;true;2025-04-07T19:29:43;5245;2025-04-07T10:50:03;4831
4;22958;7114;festival;18287.32;21244;straight devise;false;true;2025-04-08T02:33:19;20466;2025-04-07T12:12:48;32585
5;30408;7137;consequently though;13057.85;11702;separately only;false;false;2025-04-07T10:43:07;27141;2025-04-08T00:57:56;4929
6;32652;25749;cheerfully calmly but;6752.28;8977;esteemed when and;true;false;2025-04-08T02:03:34;10142;2025-04-07T11:35:50;21644
7;9305;4342;furiously;18259.52;5573;vacation incidentally solicit;true;true;2025-04-07T20:35:00;27297;2025-04-08T04:12:19;1910
8;5679;23208;ick castanet;4999.5;898;hmph;true;true;2025-04-07T15:13:58;9903;2025-04-07T16:19:00;16233
9;4338;22186;phooey which oblong;10333.85;15210;lumbering absent conjecture;true;true;2025-04-07T16:16:00;1623;2025-04-07T16:26:38;3991
10;21083;27526;separately gleefully;10845.32;30250;steeple quirkily;true;true;2025-04-07T15:04:07;2370;2025-04-07T19:12:09;22173
