id;type;jhi_key;value;created_at;updated_at;created_by;updated_by
1;25726;and mmm er;phooey validity if;2025-03-26T11:56:06;2025-03-26T23:10:25;7335;15782
2;9973;role gracefully;softly where among;2025-03-27T04:24:55;2025-03-27T05:52:14;3099;29784
3;17619;and;where;2025-03-27T05:07:47;2025-03-26T12:40:43;24657;17003
4;7234;bludgeon yahoo;trash;2025-03-27T07:17:19;2025-03-26T13:49:21;3794;11300
5;14356;dulcimer authorized;floss qua blissfully;2025-03-27T01:41:00;2025-03-26T16:48:12;5027;5548
6;15596;meander like;warming without;2025-03-26T08:20:11;2025-03-26T21:01:05;3013;12191
7;13439;supposing;quick-witted eek hungrily;2025-03-27T01:47:11;2025-03-27T04:17:38;4148;10700
8;2186;enraged;unnaturally whose;2025-03-26T13:12:45;2025-03-26T19:06:41;12070;7962
9;5784;midst steak;very legitimize;2025-03-26T21:11:40;2025-03-26T08:48:15;21061;29731
10;3898;ah nutritious utilized;menacing;2025-03-27T00:57:54;2025-03-27T00:47:18;20470;6401
